5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed
04-03-2016 00:00,16,1,100
04-03-2016 00:05,10,1,100
04-03-2016 00:10,11,1,100
04-03-2016 00:15,11,1,100
04-03-2016 00:20,6,1,100
04-03-2016 00:25,13,1,100
04-03-2016 00:30,7,1,100
04-03-2016 00:35,2,1,100
04-03-2016 00:40,6,1,100
04-03-2016 00:45,7,1,100
04-03-2016 00:50,4,1,100
04-03-2016 00:55,7,1,100
04-03-2016 01:00,12,1,100
04-03-2016 01:05,5,1,100
04-03-2016 01:10,10,1,100
04-03-2016 01:15,10,1,100
04-03-2016 01:20,1,1,100
04-03-2016 01:25,6,1,100
04-03-2016 01:30,6,1,100
04-03-2016 01:35,5,1,100
04-03-2016 01:40,3,1,100
04-03-2016 01:45,3,1,100
04-03-2016 01:50,7,1,100
04-03-2016 01:55,5,1,100
04-03-2016 02:00,2,1,100
04-03-2016 02:05,1,1,100
04-03-2016 02:10,1,1,100
04-03-2016 02:15,4,1,100
04-03-2016 02:20,7,1,100
04-03-2016 02:25,4,1,100
04-03-2016 02:30,5,1,100
04-03-2016 02:35,4,1,100
04-03-2016 02:40,4,1,100
04-03-2016 02:45,6,1,100
04-03-2016 02:50,1,1,100
04-03-2016 02:55,5,1,100
04-03-2016 03:00,6,1,100
04-03-2016 03:05,3,1,100
04-03-2016 03:10,3,1,100
04-03-2016 03:15,5,1,100
04-03-2016 03:20,4,1,100
04-03-2016 03:25,2,1,100
04-03-2016 03:30,8,1,100
04-03-2016 03:35,8,1,100
04-03-2016 03:40,5,1,100
04-03-2016 03:45,7,1,100
04-03-2016 03:50,10,1,100
04-03-2016 03:55,5,1,100
04-03-2016 04:00,10,1,100
04-03-2016 04:05,8,1,100
04-03-2016 04:10,14,1,100
04-03-2016 04:15,6,1,100
04-03-2016 04:20,18,1,100
04-03-2016 04:25,18,1,100
04-03-2016 04:30,15,1,100
04-03-2016 04:35,26,1,100
04-03-2016 04:40,33,1,100
04-03-2016 04:45,27,1,100
04-03-2016 04:50,37,1,100
04-03-2016 04:55,42,1,100
04-03-2016 05:00,42,1,100
04-03-2016 05:05,48,1,100
04-03-2016 05:10,46,1,100
04-03-2016 05:15,61,1,100
04-03-2016 05:20,57,1,100
04-03-2016 05:25,58,1,100
04-03-2016 05:30,66,1,100
04-03-2016 05:35,67,1,100
04-03-2016 05:40,105,1,100
04-03-2016 05:45,89,1,100
04-03-2016 05:50,93,1,100
04-03-2016 05:55,89,1,100
04-03-2016 06:00,102,1,100
04-03-2016 06:05,107,1,100
04-03-2016 06:10,113,1,100
04-03-2016 06:15,132,1,100
04-03-2016 06:20,142,1,100
04-03-2016 06:25,133,1,100
04-03-2016 06:30,149,1,100
04-03-2016 06:35,145,1,100
04-03-2016 06:40,152,1,100
04-03-2016 06:45,161,1,100
04-03-2016 06:50,148,1,100
04-03-2016 06:55,134,1,100
04-03-2016 07:00,181,1,100
04-03-2016 07:05,127,1,100
04-03-2016 07:10,145,1,100
04-03-2016 07:15,120,1,100
04-03-2016 07:20,122,1,100
04-03-2016 07:25,119,1,100
04-03-2016 07:30,101,1,100
04-03-2016 07:35,81,1,100
04-03-2016 07:40,93,1,100
04-03-2016 07:45,84,1,100
04-03-2016 07:50,66,1,100
04-03-2016 07:55,78,1,100
04-03-2016 08:00,90,1,100
04-03-2016 08:05,89,1,100
04-03-2016 08:10,99,1,100
04-03-2016 08:15,96,1,100
04-03-2016 08:20,94,1,100
04-03-2016 08:25,80,1,100
04-03-2016 08:30,73,1,100
04-03-2016 08:35,79,1,100
04-03-2016 08:40,94,1,100
04-03-2016 08:45,94,1,100
04-03-2016 08:50,80,1,100
04-03-2016 08:55,77,1,100
04-03-2016 09:00,95,1,100
04-03-2016 09:05,103,1,100
04-03-2016 09:10,93,1,100
04-03-2016 09:15,100,1,100
04-03-2016 09:20,93,1,100
04-03-2016 09:25,104,1,100
04-03-2016 09:30,102,1,100
04-03-2016 09:35,105,1,100
04-03-2016 09:40,107,1,100
04-03-2016 09:45,135,1,100
04-03-2016 09:50,97,1,100
04-03-2016 09:55,105,1,100
04-03-2016 10:00,115,1,100
04-03-2016 10:05,100,1,100
04-03-2016 10:10,111,1,100
04-03-2016 10:15,123,1,100
04-03-2016 10:20,104,1,100
04-03-2016 10:25,94,1,100
04-03-2016 10:30,95,1,100
04-03-2016 10:35,110,1,100
04-03-2016 10:40,113,1,100
04-03-2016 10:45,124,1,100
04-03-2016 10:50,115,1,100
04-03-2016 10:55,120,1,100
04-03-2016 11:00,120,1,100
04-03-2016 11:05,95,1,100
04-03-2016 11:10,109,1,100
04-03-2016 11:15,110,1,100
04-03-2016 11:20,117,1,100
04-03-2016 11:25,114,1,100
04-03-2016 11:30,109,1,100
04-03-2016 11:35,110,1,100
04-03-2016 11:40,104,1,100
04-03-2016 11:45,119,1,100
04-03-2016 11:50,105,1,100
04-03-2016 11:55,105,1,100
04-03-2016 12:00,116,1,100
04-03-2016 12:05,97,1,100
04-03-2016 12:10,98,1,100
04-03-2016 12:15,91,1,100
04-03-2016 12:20,104,1,100
04-03-2016 12:25,113,1,100
04-03-2016 12:30,101,1,100
04-03-2016 12:35,120,1,100
04-03-2016 12:40,115,1,100
04-03-2016 12:45,125,1,100
04-03-2016 12:50,114,1,100
04-03-2016 12:55,98,1,100
04-03-2016 13:00,115,1,100
04-03-2016 13:05,120,1,100
04-03-2016 13:10,109,1,100
04-03-2016 13:15,112,1,100
04-03-2016 13:20,111,1,100
04-03-2016 13:25,112,1,100
04-03-2016 13:30,100,1,100
04-03-2016 13:35,96,1,100
04-03-2016 13:40,109,1,100
04-03-2016 13:45,115,1,100
04-03-2016 13:50,117,1,100
04-03-2016 13:55,98,1,100
04-03-2016 14:00,113,1,100
04-03-2016 14:05,92,1,100
04-03-2016 14:10,107,1,100
04-03-2016 14:15,97,1,100
04-03-2016 14:20,104,1,100
04-03-2016 14:25,91,1,100
04-03-2016 14:30,109,1,100
04-03-2016 14:35,91,1,100
04-03-2016 14:40,105,1,100
04-03-2016 14:45,100,1,100
04-03-2016 14:50,104,1,100
04-03-2016 14:55,106,1,100
04-03-2016 15:00,89,1,100
04-03-2016 15:05,89,1,100
04-03-2016 15:10,100,1,100
04-03-2016 15:15,113,1,100
04-03-2016 15:20,104,1,100
04-03-2016 15:25,105,1,100
04-03-2016 15:30,93,1,100
04-03-2016 15:35,92,1,100
04-03-2016 15:40,113,1,100
04-03-2016 15:45,126,1,100
04-03-2016 15:50,120,1,100
04-03-2016 15:55,91,1,100
04-03-2016 16:00,92,1,100
04-03-2016 16:05,89,1,100
04-03-2016 16:10,101,1,100
04-03-2016 16:15,109,1,100
04-03-2016 16:20,95,1,100
04-03-2016 16:25,87,1,100
04-03-2016 16:30,84,1,100
04-03-2016 16:35,87,1,100
04-03-2016 16:40,89,1,100
04-03-2016 16:45,98,1,100
04-03-2016 16:50,104,1,100
04-03-2016 16:55,87,1,100
04-03-2016 17:00,79,1,100
04-03-2016 17:05,83,1,100
04-03-2016 17:10,97,1,100
04-03-2016 17:15,86,1,100
04-03-2016 17:20,99,1,100
04-03-2016 17:25,98,1,100
04-03-2016 17:30,89,1,100
04-03-2016 17:35,99,1,100
04-03-2016 17:40,85,1,100
04-03-2016 17:45,76,1,100
04-03-2016 17:50,77,1,100
04-03-2016 17:55,83,1,100
04-03-2016 18:00,93,1,100
04-03-2016 18:05,71,1,100
04-03-2016 18:10,71,1,100
04-03-2016 18:15,74,1,100
04-03-2016 18:20,102,1,100
04-03-2016 18:25,89,1,100
04-03-2016 18:30,82,1,100
04-03-2016 18:35,76,1,100
04-03-2016 18:40,64,1,100
04-03-2016 18:45,77,1,100
04-03-2016 18:50,77,1,100
04-03-2016 18:55,85,1,100
04-03-2016 19:00,86,1,100
04-03-2016 19:05,83,1,100
04-03-2016 19:10,93,1,100
04-03-2016 19:15,83,1,100
04-03-2016 19:20,96,1,100
04-03-2016 19:25,97,1,100
04-03-2016 19:30,86,1,100
04-03-2016 19:35,97,1,100
04-03-2016 19:40,100,1,100
04-03-2016 19:45,76,1,100
04-03-2016 19:50,76,1,100
04-03-2016 19:55,79,1,100
04-03-2016 20:00,77,1,100
04-03-2016 20:05,71,1,100
04-03-2016 20:10,98,1,100
04-03-2016 20:15,89,1,100
04-03-2016 20:20,64,1,100
04-03-2016 20:25,73,1,100
04-03-2016 20:30,60,1,100
04-03-2016 20:35,52,1,100
04-03-2016 20:40,47,1,100
04-03-2016 20:45,53,1,100
04-03-2016 20:50,68,1,100
04-03-2016 20:55,61,1,100
04-03-2016 21:00,43,1,100
04-03-2016 21:05,53,1,100
04-03-2016 21:10,51,1,100
04-03-2016 21:15,58,1,100
04-03-2016 21:20,53,1,100
04-03-2016 21:25,71,1,100
04-03-2016 21:30,43,1,100
04-03-2016 21:35,38,1,100
04-03-2016 21:40,44,1,100
04-03-2016 21:45,60,1,100
04-03-2016 21:50,40,1,100
04-03-2016 21:55,40,1,100
04-03-2016 22:00,34,1,100
04-03-2016 22:05,32,1,100
04-03-2016 22:10,37,1,100
04-03-2016 22:15,43,1,100
04-03-2016 22:20,47,1,100
04-03-2016 22:25,47,1,100
04-03-2016 22:30,43,1,100
04-03-2016 22:35,36,1,100
04-03-2016 22:40,38,1,100
04-03-2016 22:45,37,1,100
